ISSN;Estrato
2283-9216;B2
0009-2614;A3
2365-6549;A4
1860-7179;A1
1537-1506;A4
2365-4244;A1
0742-0528;A1
2182-3030;A2
1980-850X;A1
1678-4561;A1
0718-2449;B2
0304-2685;B3
2447-3383;B4
0103-8699;B4
1809-6891;B1
1089-6891;B1
0104-3773;B4
1677-3861;B1
1984-7513;B1
2358-0763;B1
0100-1965;A4
1518-8353;A4
2177-6830;B4
0326-3169;B3
2317-6660;A1
0009-6725;A1
0718-1620;B1
0100-8307;A3
1413-8123;A1
1678-457X;B1
1517-1914;B1
1980-5098;B2
1413-7461;B1
2707-2207;B3
2389-7481;B1
1678-4596;A4
0103-8478;A4
0717-9553;B1
1390-4051;B1
1806-5821;B1
2319-0574;B3
2178-1826;B2
1688-4094;A2
1679-348X;B2
1982-3037;B2
1981-4747;B3
2177-6229;A3
1519-7050;A3
1984-9710;C
1984-5529;B4
2177-4005;B2
0278-081X;A2
0213-8093;A3
0264-2751;A1
2575-8950;B4
1984-7289;A1
2280-6865;B3
2359-1951;B2
1618-9558;A2
1618-954X;A2
1469-3062;A1
0165-0009;A1
1413-571X;C
2357-9730;C
0300-0664;A2
1555-9041;A1
2048-8513;A2
2048-8505;A2
0770-3198;A4
1980-5322;A4
1807-5932;A4
2525-5649;B1
1871-5273;A3
2317-1782;A3
1984-3909;B3
2331-1975;A2
2332-2039;A3
2331-1932;B3
2176-9133;B1
2236-3009;B4
2447-2654;A2
2316-4891;A4
1981-4313;B2
1773-4649;B4
0973-7766;A3
0927-7765;A2
1809-8215;B4
2526-7035;C
2318-180X;A4
2526-9518;B2
1678-9059;A4
1519-7654;B2
1466-2043;A4
2383-4757;B4
1865-0929;B2
0010-3624;B1
0361-0918;B1
1532-4141;B1
0361-0926;B2
1529-3181;A2
0001-0782;A1
1366-8803;A2
1556-5068;A1
0010-4140;A1
2177-4986;B4
1984-2880;B4
1024-5294;A1
1059-5422;A2
2525-4154;B3
2214-3009;B2
1076-2787;A1
1476-9271;A3
2352-2143;A4
0927-7099;A1
1687-5265;A1
0943-4062;B1
0140-3664;A2
0098-1354;A1
0360-1315;A1
0360-8352;A1
0305-0548;A1
0168-1699;A1
0747-5632;A1
0104-6829;A4
2317-675X;B2
1415-5842;B2
2178-0145;A4
2316-3992;B2
2175-7755;B1
0101-2657;B1
1983-7070;A3
2183-2269;B1
2175-5132;B3
2177-5133;B2
1981-2132;B2
2595-4768;B3
2594-5467;A4
1980-7058;B1
2316-9168;A4
2176-7777;C
1984-4425;C
1983-9030;B2
1958-9212;A1
2316-395X;B2
1678-7145;A4
2238-0426;B2
2237-8049;B1
1809-3442;B3
2178-4612;A3
2178-8839;A3
1809-6182;A3
2675-9179;B3
2236-8760;B3
1677-1028;B2
1983-9324;B2
2594-939X;B3
2369-2685;A3
0144-6193;A2
2526-7884;B2
1025-3866;A2
1992-1896;A4
2184-0733;B3
1415-7136;B4
0103-734X;A3
2357-9048;B2
0120-4203;B1
0186-1042;A2
0010-7212;A2
2316-1329;A4
2236-532X;A4
1932-3231;A1
1982-3231;B2
0823-9150;A1
1807-9539;B4
1519-0545;B1
2179-1309;A2
0102-8529;A1
1982-0240;A1
2175-8751;A4
1676-6016;A4
2238-4200;B2
2007-2120;A4
2178-9258;B1
1678-2089;B1
2525-4529;B2
2358-3541;B4
1984-7114;A3
1696-8360;B2
1988-7833;A4
2357-7304;C
1517-6975;C
1646-9054;B1
1678-1740;B4
2312-2722;A4
1467-8683;A1
0964-8410;A1
1472-0701;A2
1810-3057;C
1727-9232;C
1535-3966;A1
1535-3958;A1
1756-4344;B4
2151-4755;C
2603-6061;B3
0963-1690;A1
1532-6934;A2
2317-2452;A4
2193-7680;A1
1742-2043;A2
1518-7853;A4
0011-183X;A2
2059-5794;A1
1069-3971;A2
1981-2140;B3
2675-9764;C
2256-5078;A4
0120-3592;A4
0120-4645;A4
0123-1472;A4
2215-7727;B2
0210-0266;A4
0121-4772;A4
1989-4155;A4
1139-7861;A3
1668-0227;A2
1666-5112;B1
2393-5979;B2
2346-3414;B1
1982-5838;B1
1532-7086;A2
1983-5930;B3
1475-9551;A3
1573-3998;A4
1368-3500;A1
2212-3881;B2
1573-4013;B2
1877-3435;A1
1381-6128;A3
1046-1310;A1
2347-467X;B2
0011-3891;A3
1568-0266;A2
2308-6971;C
1808-2882;A3
2591-555X;B3
1678-4588;A1
0011-5258;A1
1477-9226;A1
1808-3129;A1
0169-023X;A3
1886-1881;B2
2175-6600;A2
2594-0937;B3
1129-6569;A4
1662-9507;B2
1988-5245;B1
1980-5764;B2
2238-913X;B2
0109-5641;A1
2224-4131;A2
1678-1821;B1
2317-949X;B1
2145-5112;A1
2359-3652;A4
1944-3994;A3
0120-3584;A4
2596-0318;B2
2316-5537;B2
2176-9109;B2
1518-952X;B2
2176-9257;A4
1678-4855;A4
2237-6453;A4
2594-5815;B2
2676-0495;C
2237-9029;A2
2446-5496;B1
2178-1974;A1
2473-5132;C
0142-694X;A1
2176-3070;B1
1677-0013;B3
2237-2113;B4
0012-1533;B1
0012-155X;A1
0961-4524;A3
0950-6764;A1
2526-849X;B1
0168-8227;A2
1983-9294;A4
1090-4972;B3
2525-2828;B2
1667-314X;B3
1688-9665;B4
1678-0493;B1
2358-8845;B1
2447-1879;C
1600-0110;B2
2447-9047;A4
2296-3642;B2
2178-2792;A4
1983-5922;A4
2322-956X;A4
2317-7721;A2
2177-0026;A4
2178-2466;A4
2177-1758;A4
1516-6104;A2
1415-8124;B2
1808-4435;A2
0965-3562;A4
2177-3335;B2
2318-678X;B3
1981-5778;B3
1981-1381;B1
1750-4813;A3
0000-000X;B3
1984-7939;A4
1515-7326;A2
2237-9967;B3
1676-0867;B3
1984-2376;B3
1983-8921;B1
2525-5215;B3
1759-1422;B4
2358-0003;A3
1982-0313;A3
2318-0676;B4
1666-4124;B4
2446-6670;C
1980-8380;B3
2182-5580;B1
1413-2060;A4
0148-0545;A3
1520-5762;A3
1745-1981;B1
0143-7208;A1
0012-7353;B2
1982-4866;A4
2177-8310;A2
2509-9434;A1
0012-8775;A3
1590-1262;A2
2177-5087;B1
1983-9278;A3
0921-8009;A1
1470-160X;A1
1939-9170;A1
0012-9658;A1
1808-2599;A2
0012-9682;A1
